"filename", "language", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\keiran\Desktop\gaming\ht\Gaming_pc's.html", "HTML", 0, 0, 0, 0, 1, 1
"c:\Users\keiran\Desktop\gaming\ht\backendServer.js", "JavaScript", 37, 0, 0, 1, 10, 48
"c:\Users\keiran\Desktop\gaming\ht\home.html", "HTML", 0, 0, 1, 0, 1, 2
"c:\Users\keiran\Desktop\gaming\ht\login.html", "HTML", 0, 0, 45, 0, -3, 42
"c:\Users\keiran\Desktop\gaming\ht\nodejs-base64.js", "JavaScript", 8, 0, 0, 0, 3, 11
"c:\Users\keiran\Desktop\gaming\ht\package-lock.json", "JSON", 0, 7256, 0, 0, 0, 7256
"c:\Users\keiran\Desktop\gaming\ht\package.json", "JSON", 0, 19, 0, 0, 1, 20
"c:\Users\keiran\Desktop\gaming\ht\signup.html", "HTML", 0, 0, 146, 0, 24, 170
"c:\Users\keiran\Desktop\gaming\ht\var message = 'Hello, World!';.js", "JavaScript", 5, 0, 0, 0, 0, 5
"c:\Users\keiran\Desktop\gaming\ht\webpack.config.js", "JavaScript", 22, 0, 0, 0, 2, 24
"Total", "-", 72, 7275, 192, 1, 39, 7579